Fron;To;;Albania;Armenia;Australia;Austria;Azerbaijan;Belarus;Belgium;Bulgaria;Croatia;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;North Macedonia;Georgia;Germany;Greece;Hungary;Iceland;Ireland;Israel;Italy;Latvia;Lithuania;Malta;Moldova;Montenegro;Netherlands;Norway;Poland;Portugal;Romania;San Marino;Serbia;Slovenia;Spain;Sweden;Switzerland;Ukraine;United Kingdom
1;Portugal;Portugal;758;14;22;14;20;16;17;20;7;17;15;20;15;18;20;24;17;20;22;13;19;24;15;24;10;22;24;18;13;8;24;22;22;;13;19;20;20;24;22;24;20;20
2;Bulgaria;Bulgaria;615;20;7;13;17;14;24;18;;18;17;14;14;19;13;9;24;13;13;12;22;10;16;17;10;15;14;18;18;8;18;20;14;8;18;14;16;15;16;14;14;2;19
3;Moldova;Moldova;374;;14;22;3;20;10;7;10;4;6;8;11;4;8;7;8;;7;13;10;6;8;8;20;9;8;1;;3;5;8;6;18;20;8;14;3;13;16;;16;12
4;Belgium;Belgium;363;5;5;4;10;4;6;;4;5;5;4;8;14;10;8;4;;10;5;8;12;17;14;9;22;14;5;2;10;12;7;22;18;5;13;3;11;8;13;13;6;8
5;Sweden;Sweden;344;2;9;12;5;3;11;14;2;6;11;7;24;6;18;8;6;9;4;3;4;16;6;13;10;4;9;7;11;7;10;11;7;8;9;2;3;7;10;;11;7;12
6;Italy;Italy;334;24;6;2;12;6;;5;;7;18;1;;5;15;15;8;7;4;11;4;12;1;10;;3;13;24;4;18;2;9;;4;6;13;14;12;18;7;12;;2
7;Romania;Romania;282;7;2;10;10;5;2;6;11;6;4;6;4;6;3;10;4;;6;7;6;5;20;7;10;8;4;11;24;10;8;10;7;7;;6;4;2;7;3;4;3;7
8;Hungary;Hungary;200;6;;;10;7;8;1;6;24;;;3;9;4;2;3;;4;;;6;2;1;4;2;2;5;1;7;6;4;5;2;10;4;22;5;;4;8;12;1
9;Australia;Australia;173;4;;;;;7;6;;6;4;10;10;7;10;2;8;;5;;7;10;;;;5;1;;4;;4;3;7;5;4;;3;7;8;10;4;2;10
10;Norway;Norway;158;;5;;3;;11;7;;2;;;13;10;3;7;2;7;12;;6;2;2;5;3;8;16;;;;7;;3;2;;10;;;;6;5;1;
11;Netherlands;Netherlands;150;;;4;12;;5;10;10;9;;8;6;4;;4;;1;8;;8;;4;;;;2;;;;;4;8;3;12;7;;1;3;3;7;3;4
12;France;France;135;6;11;;;5;4;4;12;3;5;;;1;1;;11;3;;4;1;;;10;7;;;4;5;5;;;;10;4;;2;;3;;3;11;
13;Croatia;Croatia;128;7;;1;4;1;;;1;;;;;;;;10;;11;;5;;3;;6;;;9;;17;3;1;1;;6;3;5;12;;2;8;7;5
14;Azerbaijan;Azerbaijan;120;2;;;;;;4;5;;1;10;;;;;;22;;10;4;;1;;12;;;;15;5;;;1;12;;6;;4;;;;6;
15;United Kingdom;United Kingdom;111;8;4;15;1;;;2;;;5;5;;6;2;3;3;;6;1;3;7;4;;;4;;4;;;5;1;5;;;6;;10;1;;;;
16;Austria;Austria;93;;1;3;;;4;3;12;1;;4;7;;;1;;5;2;;;;7;;1;6;5;;2;1;3;;;10;1;;4;;3;4;;;3
17;Belarus;Belarus;83;;;;7;12;;;2;5;;3;;2;;;;6;;3;;;;3;;8;1;2;4;;;;4;;;;;;;;;20;1
18;Armenia;Armenia;79;7;;1;;;;;4;;1;2;1;;;6;;13;;10;2;;;;4;;3;1;6;4;;;2;;;4;5;3;;;;;
19;Greece;Greece;77;4;11;;;5;;;11;;24;;;;;;;;;;;;;;;;;;7;12;;;;;1;;;;2;;;;
20;Denmark;Denmark;77;;;13;;;3;;;3;;6;;5;4;;7;;;;5;3;;;;;;;;;8;8;;;5;;;;;5;;;2
21;Cyprus;Cyprus;68;;19;;;;;5;3;;;;;;5;;;6;;24;2;;;;;;;;;1;;;;1;;;;;;2;;;
22;Poland;Poland;64;;;2;2;6;2;4;7;;;1;;;;1;;;2;;;3;7;;3;;;;;;1;3;;;;1;;4;;5;;;10
23;Israel;Israel;39;;;;;5;1;;8;;;;;;;9;1;;;;;;;;;;;7;;;;5;;;2;;1;;;;;;
24;Ukraine;Ukraine;36;;;;;7;1;;1;;;7;;;;;;4;;;;;;4;7;;;;;;;;2;3;;;;;;;;;
25;Germany;Germany;6;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;3;;
26;Spain;Spain;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;
