Fron;To;;Albania;Armenia;Australia;Austria;Azerbaijan;Belarus;Belgium;Croatia;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Georgia;Germany;Greece;Hungary;Iceland;Ireland;Israel;Italy;Latvia;Lithuania;Malta;Moldova;Montenegro;Netherlands;North Macedonia;Norway;Poland;Portugal;Romania;Russia;San Marino;Serbia;Slovenia;Spain;Sweden;Switzerland;Ukraine;United Kingdom
1;Portugal;Portugal;382;6;12;7;8;8;10;8;;7;8;12;10;8;8;12;10;12;10;5;12;12;5;12;5;12;12;10;7;;12;10;12;;6;12;12;12;12;12;12;10;12
2;Bulgaria;Bulgaria;278;10;;8;10;2;12;10;;10;7;2;4;12;6;5;12;6;8;2;10;6;10;7;2;8;7;8;10;2;10;12;6;;10;2;6;8;6;7;8;;7
3;Sweden;Sweden;218;;6;6;4;;8;12;;4;6;7;12;3;12;8;1;8;4;;1;8;6;10;10;;6;;8;7;6;6;4;7;7;;2;6;5;;10;;8
4;Australia;Australia;171;4;;;;;7;6;;6;4;10;8;7;10;2;8;;5;;7;10;;;;5;1;;4;;4;3;7;5;4;;3;7;8;10;4;2;10
5;Netherlands;Netherlands;135;;;4;12;;5;;10;8;;8;5;4;;4;;1;7;;8;;4;;;;2;;;;;4;8;3;12;7;;1;1;3;7;3;4
6;Norway;Norway;129;;5;;3;;6;7;;2;;;6;10;1;7;2;7;12;;6;1;2;5;3;7;10;;;;7;;3;2;;10;;;;;5;;
7;Italy;Italy;126;12;2;;6;;;;;;10;;;;7;10;;2;;4;;5;;2;;;8;12;;8;;7;;;;3;8;2;10;6;2;;
8;Moldova;Moldova;110;;8;10;;10;;;;;;3;3;;3;;6;;;7;;;;3;8;1;;;;;;2;;6;8;;7;;7;8;;4;6
9;Belgium;Belgium;108;;;;2;;;;;;3;;2;2;;;;;;;;2;12;8;7;10;4;;;6;2;;10;8;;8;;5;4;1;6;1;5
10;United Kingdom;United Kingdom;99;8;4;12;1;;;2;;;5;5;;6;2;3;3;;6;1;3;7;;;;4;;;;;5;1;5;;;6;;10;;;;;
11;Austria;Austria;93;;1;3;;;4;3;12;1;;4;7;;;1;;5;2;;;;7;;1;6;5;;2;1;3;;;10;1;;4;;3;4;;;3
12;Azerbaijan;Azerbaijan;78;2;;;;;;4;5;;1;;;;;;;10;;10;4;;1;;12;;;;5;;;;1;12;;5;;;;;;6;
13;Denmark;Denmark;69;;;5;;;3;;;3;;6;;5;4;;7;;;;5;3;;;;;;;;;8;8;;;5;;;;;5;;;2
14;Romania;Romania;58;3;;;;3;;;3;;;;;;;;4;;;6;;;8;;;3;;5;12;10;1;;;;;;;;;;;;
14;Armenia;Armenia;58;7;;1;;;;;4;;;;1;;;;;3;;8;2;;;;4;;3;1;6;4;;;2;;;4;5;3;;;;;
16;Belarus;Belarus;50;;;;7;12;;;2;5;;;;;;;;;;3;;;;1;;2;;2;3;;;;;;;;;;;;;12;1
17;Hungary;Hungary;48;;;;5;;;;;12;;;;1;;;;;1;;;4;;;;;;3;1;;;;;;;;10;;;;3;8;
17;Greece;Greece;48;1;10;;;5;;;6;;12;;;;;;;;;;;;;;;;;;;12;;;;;;;;;2;;;;
19;France;France;45;5;3;;;;;1;;;2;;;;;;5;;;;;;;6;6;;;4;;3;;;;4;;;;;;;1;5;
20;Cyprus;Cyprus;36;;7;;;;;5;;;;;;;5;;;4;;12;;;;;;;;;;;;;;1;;;;;;2;;;
21;Israel;Israel;34;;;;;4;1;;8;;;;;;;6;;;;;;;;;;;;7;;;;5;;;2;;1;;;;;;
22;Croatia;Croatia;25;;;;;1;;;;;;;;;;;;;3;;;;;;;;;6;;5;;;;;3;;;;;;;7;
23;Poland;Poland;23;;;2;;6;2;;7;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;4;;;;;
24;Ukraine;Ukraine;12;;;;;7;;;1;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;
25;Germany;Germany;3;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;
26;Spain;Spain;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
