Fron;To;;Albania;Armenia;Australia;Austria;Azerbaijan;Belarus;Belgium;Bulgaria;Croatia;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;North Macedonia;Georgia;Germany;Greece;Hungary;Iceland;Ireland;Israel;Italy;Latvia;Lithuania;Malta;Moldova;Montenegro;Netherlands;Norway;Poland;Portugal;Romania;San Marino;Serbia;Slovenia;Spain;Sweden;Switzerland;Ukraine;United Kingdom
1;Portugal;Portugal;376;8;10;7;12;8;7;12;7;10;7;8;5;10;12;12;7;8;12;8;7;12;10;12;5;10;12;8;6;8;12;12;10;;7;7;8;8;12;10;12;10;8
2;Bulgaria;Bulgaria;337;10;7;5;7;12;12;8;;8;10;12;10;7;7;4;12;7;5;10;12;4;6;10;8;7;7;10;8;6;8;8;8;8;8;12;10;7;10;7;6;2;12
3;Moldova;Moldova;264;;6;12;3;10;10;7;10;4;6;5;8;4;5;7;2;;7;6;10;6;8;5;12;8;8;1;;3;5;6;6;12;12;8;7;3;6;8;;12;6
4;Belgium;Belgium;255;5;5;4;8;4;6;;4;5;2;4;6;12;10;8;4;;10;5;8;10;5;6;2;12;10;5;2;4;10;7;12;10;5;5;3;6;4;12;7;5;3
5;Romania;Romania;224;4;2;10;10;2;2;6;8;6;4;6;4;6;3;10;;;6;1;6;5;12;7;10;5;4;6;12;;7;10;7;7;;6;4;2;7;3;4;3;7
6;Italy;Italy;208;12;4;2;6;6;;5;;7;8;1;;5;8;5;8;5;4;7;4;7;1;8;;3;5;12;4;10;2;2;;4;6;10;6;10;8;1;10;;2
7;Hungary;Hungary;152;6;;;5;7;8;1;6;12;;;3;8;4;2;3;;3;;;2;2;1;4;2;2;2;;7;6;4;5;2;10;4;12;5;;4;5;4;1
8;Sweden;Sweden;126;2;3;6;1;3;3;2;2;2;5;;12;3;6;;5;1;;3;3;8;;3;;4;3;7;3;;4;5;3;1;2;2;1;1;5;;1;7;4
9;Croatia;Croatia;103;7;;1;4;;;;1;;;;;;;;10;;8;;5;;3;;6;;;3;;12;3;1;1;;3;3;5;12;;2;8;;5
10;France;France;90;1;8;;;5;4;3;12;3;3;;;1;1;;6;3;;4;1;;;4;1;;;;5;2;;;;6;4;;2;;3;;2;6;
11;Azerbaijan;Azerbaijan;42;;;;;;;;;;;10;;;;;;12;;;;;;;;;;;10;5;;;;;;1;;4;;;;;
12;Poland;Poland;41;;;;2;;;4;;;;;;;;1;;;2;;;3;7;;3;;;;;;1;3;;;;;;;;5;;;10
13;Belarus;Belarus;33;;;;;;;;;;;3;;2;;;;6;;;;;;2;;6;1;;1;;;;4;;;;;;;;;8;
14;Cyprus;Cyprus;32;;12;;;;;;3;;;;;;;;;2;;12;2;;;;;;;;;1;;;;;;;;;;;;;
15;Norway;Norway;29;;;;;;5;;;;;;7;;2;;;;;;;1;;;;1;6;;;;;;;;;;;;;6;;1;
15;Greece;Greece;29;3;1;;;;;;5;;12;;;;;;;;;;;;;;;;;;7;;;;;;1;;;;;;;;
17;Ukraine;Ukraine;24;;;;;;1;;;;;7;;;;;;4;;;;;;;7;;;;;;;;2;3;;;;;;;;;
18;Armenia;Armenia;21;;;;;;;;;;1;2;;;;6;;10;;2;;;;;;;;;;;;;;;;;;;;;;;
19;Netherlands;Netherlands;15;;;;;;;10;;1;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;2;;;;
20;United Kingdom;United Kingdom;12;;;3;;;;;;;;;;;;;;;;;;;4;;;;;4;;;;;;;;;;;1;;;;
21;Denmark;Denmark;8;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;Israel;Israel;5;;;;;1;;;;;;;;;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;
22;Spain;Spain;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;
24;Germany;Germany;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;
25;Australia;Australia;2;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;Austria;Austria;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
