From;To;;Albania;Armenia;Australia;Austria;Azerbaijan;Belarus;Belgium;Croatia;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Georgia;Germany;Greece;Hungary;Iceland;Ireland;Israel;Italy;Latvia;Lithuania;Malta;Moldova;Montenegro;Netherlands;North Macedonia;Norway;Poland;Portugal;Romania;Russia;San Marino;Serbia;Slovenia;Spain;Sweden;Switzerland;Ukraine;United Kingdom
1;Israel;Israel;529;6;18;18;19;13;8;16;14;16;10;22;3;;19;24;15;11;10;16;15;13;;9;8;7;14;22;1;15;4;7;10;2;8;18;24;9;1;22;17;6;22;17
2;Cyprus;Cyprus;436;20;19;7;1;14;15;11;15;8;;8;6;12;7;3;10;9;24;7;3;17;2;8;1;7;22;13;6;11;18;7;8;5;12;11;7;10;14;20;16;10;4;8
3;Austria;Austria;342;2;7;5;;;10;15;16;;2;5;18;18;10;7;9;15;;11;17;5;13;7;7;15;1;3;;13;;16;12;8;12;;;4;12;8;12;8;7;12
4;Germany;Germany;340;14;5;12;16;5;;7;6;3;3;3;24;6;1;8;7;;2;1;14;16;8;13;3;7;4;8;;24;3;18;11;8;8;4;14;10;4;13;6;18;;3
5;Italy;Italy;308;24;3;;10;5;4;6;6;10;15;2;;7;10;10;5;12;9;6;;;5;;6;7;22;8;12;7;6;;5;14;6;7;12;14;10;10;;8;5;
6;Czech Republic;Czech Republic;281;1;14;4;15;6;11;8;11;9;13;;6;5;5;4;;8;7;8;11;7;12;;4;8;8;6;;6;9;4;4;;3;2;10;5;11;14;3;;14;5
7;Sweden;Sweden;274;4;12;12;8;2;1;8;2;;12;8;11;5;8;5;12;12;8;1;7;;10;1;12;12;7;;2;8;7;13;6;;;11;8;12;12;2;;5;6;2
8;Estonia;Estonia;245;4;2;8;2;3;;;2;;5;5;7;;12;7;16;2;7;;7;7;8;10;18;12;;13;5;4;12;;;19;3;9;5;3;5;3;;10;4;6
9;Denmark;Denmark;226;;;10;5;;10;5;;2;;7;;8;13;2;3;3;;24;12;2;6;12;5;10;2;;6;8;;10;6;2;2;7;6;4;7;;12;2;11;2
10;Moldova;Moldova;209;2;11;7;;11;6;;8;8;10;6;;1;;6;3;;11;2;;1;10;10;7;;;;8;;1;;;6;19;24;9;6;6;;;;6;4
11;Albania;Albania;184;;;;9;12;7;2;7;5;6;6;;;;;4;;17;10;10;2;;12;;;;;20;;18;;7;10;;;;1;5;;;7;;7
12;Lithuania;Lithuania;181;;;3;;;5;;10;12;6;1;;22;;;9;8;;5;;12;;;16;;5;;;7;;15;1;6;6;3;;;;;7;8;2;12
13;France;France;173;12;9;;;;;11;5;6;4;;2;;9;;4;;5;;9;4;6;;10;15;8;;;;;8;3;5;;2;;;2;10;5;;19;
14;Bulgaria;Bulgaria;166;14;;;6;6;1;;;8;12;5;1;7;10;;6;;5;;;10;1;;;;9;11;4;;7;;2;7;5;;;2;;5;6;2;;14
15;Norway;Norway;144;;7;1;;7;18;;;5;5;;8;6;;;;;3;7;4;;;12;2;;4;7;7;4;;;;;;5;;9;5;3;10;;;5
16;Ireland;Ireland;136;7;;12;8;;;4;1;3;;14;4;;2;1;;15;;3;4;;;5;;4;;;;4;;1;7;3;1;;4;;;6;4;6;;13
17;Ukraine;Ukraine;130;;4;;;14;12;;1;;2;12;;;;4;8;;;;;;7;8;3;;;15;7;;4;;12;4;;8;5;;;;;;;
18;Netherlands;Netherlands;121;;3;;1;;;22;;;;;5;1;2;6;5;5;;8;;3;;;5;3;;1;3;;;9;8;;8;;;7;7;;1;;8;
19;Serbia;Serbia;113;3;;;8;10;;;7;12;;;;;;1;;;2;;;;;1;;;;;24;;18;;;;;;3;;12;;;12;;
20;Australia;Australia;99;;2;;;;2;;;;;;12;;;10;;7;;7;;;7;;6;;9;7;;;;6;4;;2;5;2;;;;8;;2;1
21;Hungary;Hungary;93;;;;3;8;2;;5;;4;2;;3;8;;;2;6;;;;3;2;;2;;2;3;2;;;10;;10;;;12;3;;;;1;
22;Slovenia;Slovenia;64;;;;5;;4;;;7;;7;;;;2;;;;;;;4;;1;;;;6;1;4;;;3;1;;6;8;;;;;5;
23;Spain;Spain;61;;;7;;;;1;;;7;;6;;;5;;6;;;;1;;;;;;;;;;2;;14;10;;;;;;;1;;1
24;United Kingdom;United Kingdom;48;3;;6;;;;;;2;;;3;;;3;;1;;;;10;8;6;2;;1;;2;;;;;;;;1;;;;;;;
25;Finland;Finland;46;;;4;;;;;;;;3;;12;;;;;;;3;;6;;;;;;;;5;;;;;;;;;;9;;;4
26;Portugal;Portugal;39;;;;;;;;;;;;;3;;8;;;;;;6;;;;7;;;;2;;;;;;;;;;;;13;;
