From;To;;Albania;Armenia;Australia;Austria;Azerbaijan;Belarus;Belgium;Croatia;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Georgia;Germany;Greece;Hungary;Iceland;Ireland;Israel;Italy;Latvia;Lithuania;Malta;Moldova;Montenegro;Netherlands;North Macedonia;Norway;Poland;Portugal;Romania;Russia;San Marino;Serbia;Slovenia;Spain;Sweden;Switzerland;Ukraine;United Kingdom
1;Austria;Austria;271;;1;5;;;10;12;12;;2;5;8;12;7;7;8;10;;8;12;5;12;7;7;12;1;3;;10;;8;12;8;12;;;4;10;8;10;4;7;12
2;Sweden;Sweden;253;4;12;12;8;;1;8;2;;12;8;4;5;8;5;12;12;8;1;5;;10;1;12;8;7;;;8;7;10;6;;;10;8;12;12;2;;5;6;2
3;Israel;Israel;212;5;8;6;12;1;;6;4;10;;12;3;;12;12;3;1;4;6;8;7;;2;;6;6;10;;5;1;;;1;;8;12;2;1;10;7;1;10;10
4;Germany;Germany;204;6;5;10;10;2;;5;6;;;;12;6;1;8;7;;;;6;8;5;10;3;5;;4;;12;3;12;10;;4;4;10;10;;7;1;12;;
5;Cyprus;Cyprus;183;10;7;;;4;12;4;3;;;;5;8;6;;;3;12;;2;12;;3;;1;12;6;1;6;10;5;;;5;7;;;8;12;12;7;;
6;Estonia;Estonia;143;;;8;2;3;;;;;1;;7;;;;10;2;3;;7;3;;4;8;;;12;5;4;12;;;12;3;6;5;3;5;1;;10;1;6
7;Albania;Albania;126;;;;7;12;7;2;7;1;6;6;;;;;4;;7;10;10;2;;;;;;;10;;6;;7;10;;;;1;4;;;;;7
8;France;France;114;7;4;;;;;3;5;6;3;;2;;5;;;;5;;3;4;;;10;10;8;;;;;7;;5;;2;;;2;6;5;;12;
9;Bulgaria;Bulgaria;100;8;;;6;5;;;;7;;4;1;7;10;;6;;;;;10;1;;;;2;8;;;;;2;7;;;;;;;6;2;;8
10;Moldova;Moldova;94;2;10;2;;7;;;;8;10;;;;;;;;10;;;;;;;;;;8;;;;;;7;12;7;5;6;;;;;
11;Lithuania;Lithuania;90;;;3;;;5;;10;12;;1;;10;;;2;4;;5;;;;;4;;;;;7;;3;1;6;6;3;;;;;;8;;
11;Australia;Australia;90;;2;;;;2;;;;;;10;;;10;;7;;7;;;7;;6;;3;7;;;;6;4;;2;5;2;;;;8;;2;
13;Netherlands;Netherlands;89;;3;;1;;;10;;;;;;1;;6;5;5;;4;;;;;5;3;;1;3;;;4;8;;8;;;7;7;;;;8;
14;Ireland;Ireland;74;;;4;4;;;;1;3;;10;;;2;1;;8;;3;4;;;5;;4;;;;;;1;5;;;;1;;;5;4;6;;3
15;Czech Republic;Czech Republic;66;1;6;1;3;;6;7;8;4;5;;;;;4;;;;;1;;;;;;5;;;;4;;;;;;;;3;4;;;4;
16;Norway;Norway;60;;;;;;8;;;5;;;;4;;;;;;2;;;;12;;;4;2;7;3;;;;;;;;6;;;2;;;5
17;Italy;Italy;59;12;;;;;;;;;8;;;;4;;;;1;;;;;;;;10;;4;;;;;4;;1;4;8;;3;;;;
18;Spain;Spain;43;;;7;;;;1;;;7;;6;;;;;6;;;;1;;;;;;;;;;2;;2;10;;;;;;;;;1
19;Slovenia;Slovenia;41;;;;5;;4;;;;;7;;;;2;;;;;;;4;;1;;;;;1;2;;;3;1;;6;;;;;;5;
20;Denmark;Denmark;38;;;;;;3;;;;;;;;3;;1;;;12;;;2;8;;;;;6;;;;;;;;;;;;;;3;
20;Serbia;Serbia;38;3;;;;10;;;;;;;;;;;;;2;;;;;;;;;;12;;8;;;;;;3;;;;;;;
22;Hungary;Hungary;28;;;;;8;;;;;4;2;;;;;;;6;;;;3;;;2;;;;;;;3;;;;;;;;;;;
23;United Kingdom;United Kingdom;23;;;;;;;;;2;;;;;;3;;;;;;;8;6;2;;;;2;;;;;;;;;;;;;;;
23;Finland;Finland;23;;;;;;;;;;;3;;2;;;;;;;;;6;;;;;;;;5;;;;;;;;;;3;;;4
25;Portugal;Portugal;21;;;;;;;;;;;;;3;;;;;;;;6;;;;7;;;;2;;;;;;;;;;;;3;;
26;Ukraine;Ukraine;11;;;;;6;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;
