From;To;;Albania;Armenia;Australia;Austria;Azerbaijan;Belarus;Belgium;Croatia;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Georgia;Germany;Greece;Hungary;Iceland;Ireland;Israel;Italy;Latvia;Lithuania;Malta;Moldova;Montenegro;Netherlands;North Macedonia;Norway;Poland;Portugal;Romania;Russia;San Marino;Serbia;Slovenia;Spain;Sweden;Switzerland;Ukraine;United Kingdom
1;Israel;Israel;317;1;10;12;7;12;8;10;10;6;10;10;;;7;12;12;10;6;10;7;6;;7;8;1;8;12;1;10;3;7;10;1;8;10;12;7;;12;10;5;12;7
2;Cyprus;Cyprus;253;10;12;7;1;10;3;7;12;8;;8;1;4;1;3;10;6;12;7;1;5;2;5;1;6;10;7;5;5;8;2;8;5;7;4;7;10;6;8;4;3;4;8
3;Italy;Italy;249;12;3;;10;5;4;6;6;10;7;2;;7;6;10;5;12;8;6;;;5;;6;7;12;8;8;7;6;;5;10;6;6;8;6;10;7;;8;5;
4;Czech Republic;Czech Republic;215;;8;3;12;6;5;1;3;5;8;;6;5;5;;;8;7;8;10;7;12;;4;8;3;6;;6;5;4;4;;3;2;10;5;8;10;3;;10;5
5;Denmark;Denmark;188;;;10;5;;7;5;;2;;7;;8;10;2;2;3;;12;12;2;4;4;5;10;2;;;8;;10;6;2;2;7;6;4;7;;12;2;8;2
6;Germany;Germany;136;8;;2;6;3;;2;;3;3;3;12;;;;;;2;1;8;8;3;3;;2;4;4;;12;;6;1;8;4;;4;;4;6;5;6;;3
7;Ukraine;Ukraine;119;;4;;;8;12;;1;;2;12;;;;4;8;;;;;;7;8;3;;;10;7;;4;;12;4;;8;5;;;;;;;
8;Moldova;Moldova;115;;1;5;;4;6;;8;;;6;;1;;6;3;;1;2;;1;10;10;7;;;;;;1;;;6;12;12;2;1;;;;;6;4
9;Estonia;Estonia;102;4;2;;;;;;2;;4;5;;;12;7;6;;4;;;4;8;6;10;12;;1;;;;;;7;;3;;;;2;;;3;
10;Lithuania;Lithuania;91;;;;;;;;;;6;;;12;;;7;4;;;;12;;;12;;5;;;;;12;;;;;;;;;7;;2;12
11;Norway;Norway;84;;7;1;;7;10;;;;5;;8;2;;;;;3;5;4;;;;2;;;5;;1;;;;;;5;;3;5;3;8;;;
12;Serbia;Serbia;75;;;;8;;;;7;12;;;;;;1;;;;;;;;1;;;;;12;;10;;;;;;;;12;;;12;;
13;Austria;Austria;71;2;6;;;;;3;4;;;;10;6;3;;1;5;;3;5;;1;;;3;;;;3;;8;;;;;;;2;;2;4;;
14;Bulgaria;Bulgaria;66;6;;;;1;1;;;1;12;1;;;;;;;5;;;;;;;;7;3;4;;7;;;;5;;;2;;5;;;;6
15;Hungary;Hungary;65;;;;3;;2;;5;;;;;3;8;;;2;;;;;;2;;;;2;3;2;;;7;;10;;;12;3;;;;1;
16;Ireland;Ireland;62;7;;8;4;;;4;;;;4;4;;;;;7;;;;;;;;;;;;4;;;2;3;1;;3;;;1;;;;10
17;France;France;59;5;5;;;;;8;;;1;;;;4;;4;;;;6;;6;;;5;;;;;;1;3;;;;;;;4;;;7;
18;Albania;Albania;58;;;;2;;;;;4;;;;;;;;;10;;;;;12;;;;;10;;12;;;;;;;;1;;;7;;
19;Netherlands;Netherlands;32;;;;;;;12;;;;;5;;2;;;;;4;;3;;;;;;;;;;5;;;;;;;;;1;;;
20;United Kingdom;United Kingdom;25;3;;6;;;;;;;;;3;;;;;1;;;;10;;;;;1;;;;;;;;;;1;;;;;;;
21;Slovenia;Slovenia;23;;;;;;;;;7;;;;;;;;;;;;;;;;;;;6;;2;;;;;;;8;;;;;;
21;Finland;Finland;23;;;4;;;;;;;;;;10;;;;;;;3;;;;;;;;;;;;;;;;;;;;6;;;
23;Sweden;Sweden;21;;;;;2;;;;;;;7;;;;;;;;2;;;;;4;;;2;;;3;;;;1;;;;;;;;
24;Spain;Spain;18;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;12;;;;;;;;1;;
24;Portugal;Portugal;18;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;10;;
26;Australia;Australia;9;;;;;;;;;;;;2;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;1
