To;From;Albania;Armenia;Australia;Austria;Azerbaijan;Belarus;Belgium;Croatia;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Georgia;Germany;Greece;Hungary;Iceland;Ireland;Israel;Italy;Latvia;Lithuania;Malta;Moldova;Montenegro;Netherlands;North Macedonia;Norway;Poland;Portugal;Romania;Russia;San Marino;Serbia;Slovenia;Spain;Sweden;Switzerland; United Kingdom
1;;Netherlands;492;7;16;12;15;7;10;18;10;11;10;14;15;13;17;13;15;6;9;12;16;14;5;17;19;17;9;1;;14;15;10;20;17;5;9;3;11;16;18;16;10
2;;Italy;465;13;15;5;17;11;3;20;24;16;10;4;;8;18;1;18;17;11;9;5;18;;5;13;24;5;7;16;15;10;7;13;8;1;20;17;16;16;12;17;
3;;Russia;369;13;17;4;5;24;12;1;2;20;12;3;18;4;3;8;8;18;7;;8;12;8;16;13;14;17;20;5;6;1;3;10;13;;22;8;;4;3;3;4
4;;Switzerland;360;14;15;7;22;8;4;12;14;8;5;12;14;5;4;3;16;7;8;12;17;10;3;1;2;8;4;;16;7;12;5;6;14;2;7;11;9;13;11;;12
5;;Norway;338;5;5;12;9;1;15;7;5;1;10;17;10;10;8;;17;;10;12;18;10;10;8;8;7;10;;12;5;;9;10;4;10;3;4;6;7;16;15;12
6;;Sweden;332;6;14;20;6;;;2;5;7;12;22;15;19;10;8;3;;4;20;14;6;2;10;11;11;2;;20;;20;;2;1;;;8;7;18;;12;15
7;;Azerbaijan;297;11;;3;5;;6;;;6;12;9;6;2;6;17;;8;7;4;7;10;8;10;15;10;16;3;4;5;8;4;8;16;24;8;3;10;8;8;;10
8;;North Macedonia;295;18;10;7;12;11;;;17;;7;10;;7;7;2;7;1;10;8;5;;10;8;;8;12;13;4;;10;8;5;7;4;1;24;14;;2;14;12
9;;Australia;285;3;1;;3;2;3;8;;2;8;2;2;16;10;;15;5;;20;14;11;12;6;3;3;10;4;4;10;4;18;11;14;4;;7;2;15;11;4;18
10;;Iceland;234;;3;18;6;;9;13;3;;10;4;5;12;6;3;2;2;12;;6;;7;7;12;1;1;2;7;2;10;15;3;5;9;8;5;7;3;8;;8
11;;Czech Republic;157;;3;7;3;;;5;7;;;;8;4;3;12;;;12;8;;1;4;3;7;;10;1;4;;12;1;10;8;;;4;12;6;1;;1
12;;Denmark;120;;;;;;;1;;;;;8;;5;7;5;;6;4;;1;16;7;;;4;3;12;;9;5;1;;;;2;7;;7;1;9
13;;Slovenia;105;;;;2;4;5;;10;;10;;7;7;;4;3;4;3;;;;;2;4;;;4;;2;;14;3;;6;;10;;1;;;
14;;France;105;3;4;13;5;;;18;3;7;2;;3;;;5;4;1;1;1;;6;5;;;;;;;;;6;2;1;;;1;3;4;;5;2
15;;Cyprus;101;7;;;;3;;2;;;;;;;;18;;24;;;;;;;;6;;5;1;1;1;;;;8;12;;;5;7;;1
16;;Malta;95;;10;4;;14;;;;3;3;;;1;;;3;5;;;;4;8;1;;;1;6;8;11;;4;;;6;;;1;;2;;
17;;Serbia;92;;;1;6;;3;;12;;;;4;;;;;;;2;;;;;;;;24;;10;;7;;3;3;;;10;;;7;
18;;Albania;90;;;;;7;;;1;2;;;;;;;;8;;;;;13;;;2;;15;;20;;;;2;3;7;;;;;10;
19;;Estonia;86;;;;;;10;;1;;2;10;;8;;;;;;3;1;8;5;15;4;;;;;;2;;;;;;6;1;;10;;
20;;San Marino;81;10;;;;10;5;;2;;;;;;;10;;6;6;1;;;;;;1;8;8;;8;;;;;5;;1;;;;;
21;;Greece;71;6;;;;6;;3;;24;;;;;;;;;;;;;;;;4;;;;;;;;;10;18;;;;;;
22;;Spain;60;;;;;2;6;6;;4;;1;;;7;;;4;;;;5;;;;;;;3;;;;12;;1;;2;;;;5;2
23;;Israel;47;;;;;;12;;;5;3;;;;12;4;;;;;;;;;;;7;;;;;;;3;;1;;;;;;
24;;Germany;32;;;3;;;8;;;;;8;;;;;;;;;2;;;;5;;;;;;;;;;;;;;;;6;
25;;Belarus;31;;1;;;6;;;;;;;1;;;;;;8;;;;;;;;;;;;;;;;15;;;;;;;
26;;United Kingdom;16;;2;;;;5;;;;;;;;;1;;;2;;3;;;;;;;;;;2;;;;;;;;;;1;
