To;From;Albania;Armenia;Australia;Austria;Azerbaijan;Belarus;Belgium;Croatia;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Georgia;Germany;Greece;Hungary;Iceland;Ireland;Israel;Italy;Latvia;Lithuania;Malta;Moldova;Montenegro;Netherlands;North Macedonia;Norway;Poland;Portugal;Romania;Russia;San Marino;Serbia;Slovenia;Spain;Sweden;Switzerland; United Kingdom
1;;Sweden;239;6;12;12;6;;;;5;7;12;12;12;12;10;2;2;;4;12;12;6;2;10;8;5;2;;12;;8;;2;1;;;8;7;12;;8;10
2;;North Macedonia;237;12;10;7;12;8;;;10;;7;10;;7;7;;7;1;10;8;5;;10;8;;3;12;7;3;;10;8;5;7;4;1;12;2;;;12;12
3;;Netherlands;231;;6;6;8;;;6;6;5;6;7;7;8;12;8;8;;1;7;8;12;;12;12;7;3;;;7;7;;12;5;;3;;6;8;12;10;6
4;;Italy;212;5;8;;7;5;;12;12;8;8;1;;5;8;;12;7;7;3;1;10;;2;3;12;;2;6;12;3;;6;;;12;10;8;4;8;5;
5;;Azerbaijan;197;8;;2;4;;;;;6;5;4;5;2;6;10;;8;5;4;7;7;7;6;10;8;6;;;4;5;2;8;10;12;4;3;10;7;5;;7
6;;Australia;154;2;;;;2;1;4;;;;;;10;4;;10;2;;10;4;5;6;;2;;10;4;2;10;;12;7;12;;;7;;10;6;4;8
7;;Czech Republic;150;;3;5;3;;;5;7;;;;8;4;3;12;;;12;6;;1;4;3;7;;8;1;4;;12;;10;8;;;4;12;6;1;;1
8;;Switzerland;148;10;7;;10;;;7;8;1;;6;10;3;2;3;6;;3;5;10;3;;;;;;;10;3;6;;1;4;;2;5;5;3;10;;5
9;;Russia;125;1;5;4;;12;;;2;10;;3;6;;;;;10;;;3;;;4;1;10;5;10;5;6;;;;6;;10;;;2;3;3;4
10;;Malta;75;;4;;;10;;;;3;3;;;1;;;3;5;;;;4;8;1;;;1;6;8;5;;4;;;6;;;1;;2;;
11;;Denmark;69;;;;;;;1;;;;;2;;1;7;1;;6;;;;12;7;;;4;3;7;;4;5;;;;;2;4;;;;3
11;;Cyprus;69;7;;;;3;;2;;;;;;;;6;;12;;;;;;;;6;;5;1;1;1;;;;8;5;;;5;7;;
13;;France;67;3;;10;5;;;8;3;4;2;;3;;;5;4;;;1;;2;3;;;;;;;;;6;;;;;1;3;;;2;2
14;;Iceland;48;;;8;;;2;10;;;4;;;;5;;;;;;;;;;6;;;;;2;;3;;;2;6;;;;;;
15;;Norway;47;;;;1;;7;;;;;5;;;;;5;;;;6;;;;;;7;;;;;1;4;;;;;;;4;7;
15;;Greece;47;4;;;;6;;3;;12;;;;;;;;;;;;;;;;4;;;;;;;;;10;8;;;;;;
17;;Slovenia;46;;;;;4;;;;;10;;;6;;4;;4;;;;;;;4;;;;;;;10;3;;;;;;1;;;
18;;Albania;43;;;;;7;;;;2;;;;;;;;3;;;;;1;;;2;;8;;8;;;;2;3;7;;;;;;
19;;Serbia;38;;;1;2;;3;;4;;;;4;;;;;;;2;;;;;;;;12;;;;7;;3;;;;;;;;
19;;Estonia;38;;;;;;10;;1;;1;2;;;;;;;;;;8;5;5;;;;;;;;;;;;;6;;;;;
21;;Germany;32;;;3;;;8;;;;;8;;;;;;;;;2;;;;5;;;;;;;;;;;;;;;;6;
22;;Belarus;18;;1;;;1;;;;;;;1;;;;;;8;;;;;;;;;;;;;;;;7;;;;;;;
23;;San Marino;16;;;;;;4;;;;;;;;;;;6;;;;;;;;1;;;;;;;;;5;;;;;;;
24;;United Kingdom;13;;2;;;;5;;;;;;;;;1;;;2;;;;;;;;;;;;2;;;;;;;;;;1;
25;;Israel;12;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;;Spain;7;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;
