To;From;Albania;Armenia;Australia;Austria;Azerbaijan;Belarus;Belgium;Croatia;Cyprus;Czech Republic;Denmark;Estonia;Finland;France;Georgia;Germany;Greece;Hungary;Iceland;Ireland;Israel;Italy;Latvia;Lithuania;Malta;Moldova;Montenegro;Netherlands;North Macedonia;Norway;Poland;Portugal;Romania;Russia;San Marino;Serbia;Slovenia;Spain;Sweden;Switzerland; United Kingdom
1;;Norway;291;5;5;12;8;1;8;7;5;1;10;12;10;10;8;;12;;10;12;12;10;10;8;8;7;3;;12;5;;8;6;4;10;3;4;6;7;12;8;12
2;;Netherlands;261;7;10;6;7;7;10;12;4;6;4;7;8;5;5;5;7;6;8;5;8;2;5;5;7;10;6;1;;7;8;10;8;12;5;6;3;5;8;6;6;4
3;;Italy;253;8;7;5;10;6;3;8;12;8;2;3;;3;10;1;6;10;4;6;4;8;;3;10;12;5;5;10;3;7;7;7;8;1;8;7;8;12;4;12;
4;;Russia;244;12;12;;5;12;12;1;;10;12;;12;4;3;8;8;8;7;;5;12;8;12;12;4;12;10;;;1;3;10;7;;12;8;;2;;;
5;;Switzerland;212;4;8;7;12;8;4;5;6;7;5;6;4;2;2;;10;7;5;7;7;7;3;1;2;8;4;;6;4;6;5;5;10;2;5;6;4;10;1;;7
6;;Iceland;186;;3;10;6;;7;3;3;;6;4;5;12;1;3;2;2;12;;6;;7;7;6;1;1;2;7;;10;12;3;5;7;2;5;7;3;8;;8
7;;Australia;131;1;1;;3;;2;4;;2;8;2;2;6;6;;5;3;;10;10;6;6;6;1;3;;;2;;4;6;4;2;4;;;2;5;5;;10
8;;Azerbaijan;100;3;;1;1;;6;;;;7;5;1;;;7;;;2;;;3;1;4;5;2;10;3;4;1;3;2;;6;12;4;;;1;3;;3
9;;Sweden;93;;2;8;;;;2;;;;10;3;7;;6;1;;;8;2;;;;3;6;;;8;;12;;;;;;;;6;;4;5
10;;San Marino;65;10;;;;10;1;;2;;;;;;;10;;;6;1;;;;;;;8;8;;8;;;;;;;1;;;;;
11;;Slovenia;59;;;;2;;5;;10;;;;7;1;;;3;;3;;;;;2;;;;4;;2;;4;;;6;;10;;;;;
12;;North Macedonia;58;6;;;;3;;;7;;;;;;;2;;;;;;;;;;5;;6;1;;;;;;;;12;12;;2;2;
13;;Serbia;54;;;;4;;;;8;;;;;;;;;;;;;;;;;;;12;;10;;;;;3;;;10;;;7;
14;;Spain;53;;;;;2;;6;;4;;1;;;7;;;4;;;;5;;;;;;;3;;;;12;;;;2;;;;5;2
15;;Denmark;51;;;;;;;;;;;;6;;4;;4;;;4;;1;4;;;;;;5;;5;;1;;;;;3;;7;1;6
16;;Estonia;48;;;;;;;;;;1;8;;8;;;;;;3;1;;;10;4;;;;;;2;;;;;;;1;;10;;
17;;Albania;47;;;;;;;;1;;;;;;;;;5;;;;;12;;;;;7;;12;;;;;;;;;;;10;
18;;France;38;;4;3;;;;10;;3;;;;;;;;1;1;;;4;2;;;;;;;;;;2;1;;;;;4;;3;
19;;Israel;35;;;;;;;;;5;3;;;;12;4;;;;;;;;;;;7;;;;;;;3;;1;;;;;;
20;;Cyprus;32;;;;;;;;;;;;;;;12;;12;;;;;;;;;;;;;;;;;;7;;;;;;1
21;;Greece;24;2;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;
22;;Malta;20;;6;4;;4;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;
23;;Belarus;13;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;;;;
24;;Czech Republic;7;;;2;;;;;;;;;;;;;;;;2;;;;;;;2;;;;;1;;;;;;;;;;
25;;United Kingdom;3;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;
26;;Germany;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
